#v4	V5	V4	out	I(V6)
3.040000000000042e+000	5.000000e+000	3.040000e+000	3.048160e-010	-2.000200e-011
3.030000000000042e+000	5.000000e+000	3.030000e+000	3.059222e-010	-2.000200e-011
3.020000000000042e+000	5.000000e+000	3.020000e+000	3.070469e-010	-2.000200e-011
3.010000000000042e+000	5.000000e+000	3.010000e+000	3.081905e-010	-2.000200e-011
3.000000000000043e+000	5.000000e+000	3.000000e+000	3.093536e-010	-2.000200e-011
2.990000000000043e+000	5.000000e+000	2.990000e+000	3.105367e-010	-2.000200e-011
2.980000000000043e+000	5.000000e+000	2.980000e+000	3.117402e-010	-2.000200e-011
2.970000000000043e+000	5.000000e+000	2.970000e+000	3.129647e-010	-2.000200e-011
2.960000000000044e+000	5.000000e+000	2.960000e+000	3.142108e-010	-2.000200e-011
2.950000000000044e+000	5.000000e+000	2.950000e+000	3.154790e-010	-2.000200e-011
2.940000000000044e+000	5.000000e+000	2.940000e+000	3.167700e-010	-2.000200e-011
2.930000000000044e+000	5.000000e+000	2.930000e+000	3.180843e-010	-2.000200e-011
2.920000000000044e+000	5.000000e+000	2.920000e+000	3.194225e-010	-2.000200e-011
2.910000000000045e+000	5.000000e+000	2.910000e+000	3.207855e-010	-2.000200e-011
2.900000000000045e+000	5.000000e+000	2.900000e+000	3.221737e-010	-2.000200e-011
2.890000000000045e+000	5.000000e+000	2.890000e+000	3.235880e-010	-2.000200e-011
2.880000000000045e+000	5.000000e+000	2.880000e+000	3.250291e-010	-2.000200e-011
2.870000000000045e+000	5.000000e+000	2.870000e+000	3.264977e-010	-2.000200e-011
2.860000000000046e+000	5.000000e+000	2.860000e+000	3.279947e-010	-2.000200e-011
2.850000000000046e+000	5.000000e+000	2.850000e+000	3.295209e-010	-2.000200e-011
2.840000000000046e+000	5.000000e+000	2.840000e+000	3.310771e-010	-2.000200e-011
2.830000000000046e+000	5.000000e+000	2.830000e+000	3.326643e-010	-2.000200e-011
2.820000000000047e+000	5.000000e+000	2.820000e+000	3.342833e-010	-2.000200e-011
2.810000000000047e+000	5.000000e+000	2.810000e+000	3.359351e-010	-2.000200e-011
2.800000000000047e+000	5.000000e+000	2.800000e+000	3.376208e-010	-2.000200e-011
2.790000000000047e+000	5.000000e+000	2.790000e+000	3.393415e-010	-2.000200e-011
2.780000000000047e+000	5.000000e+000	2.780000e+000	3.410981e-010	-2.000200e-011
2.770000000000048e+000	5.000000e+000	2.770000e+000	3.428918e-010	-2.000200e-011
2.760000000000048e+000	5.000000e+000	2.760000e+000	3.447239e-010	-2.000200e-011
2.750000000000048e+000	5.000000e+000	2.750000e+000	3.465955e-010	-2.000200e-011
2.740000000000048e+000	5.000000e+000	2.740000e+000	3.485081e-010	-2.000200e-011
2.730000000000048e+000	5.000000e+000	2.730000e+000	3.504628e-010	-2.000200e-011
2.720000000000049e+000	5.000000e+000	2.720000e+000	3.524611e-010	-2.000200e-011
2.710000000000049e+000	5.000000e+000	2.710000e+000	3.545046e-010	-2.000200e-011
2.700000000000049e+000	5.000000e+000	2.700000e+000	3.565948e-010	-2.000200e-011
2.690000000000049e+000	5.000000e+000	2.690000e+000	3.587331e-010	-2.000200e-011
2.680000000000050e+000	5.000000e+000	2.680000e+000	3.609215e-010	-2.000200e-011
2.670000000000050e+000	5.000000e+000	2.670000e+000	3.631616e-010	-2.000200e-011
2.660000000000050e+000	5.000000e+000	2.660000e+000	3.654553e-010	-2.000200e-011
2.650000000000050e+000	5.000000e+000	2.650000e+000	3.678045e-010	-2.000200e-011
2.640000000000050e+000	5.000000e+000	2.640000e+000	3.702113e-010	-2.000200e-011
2.630000000000051e+000	5.000000e+000	2.630000e+000	3.726778e-010	-2.000200e-011
2.620000000000051e+000	5.000000e+000	2.620000e+000	3.752063e-010	-2.000200e-011
2.610000000000051e+000	5.000000e+000	2.610000e+000	3.777992e-010	-2.000200e-011
2.600000000000051e+000	5.000000e+000	2.600000e+000	3.804588e-010	-2.000200e-011
2.590000000000051e+000	5.000000e+000	2.590000e+000	3.831879e-010	-2.000200e-011
2.580000000000052e+000	5.000000e+000	2.580000e+000	3.859892e-010	-2.000200e-011
2.570000000000052e+000	5.000000e+000	2.570000e+000	3.888656e-010	-2.000200e-011
2.560000000000052e+000	5.000000e+000	2.560000e+000	3.918202e-010	-2.000200e-011
2.550000000000052e+000	5.000000e+000	2.550000e+000	3.948561e-010	-2.000200e-011
2.540000000000052e+000	5.000000e+000	2.540000e+000	3.979769e-010	-2.000200e-011
2.530000000000053e+000	5.000000e+000	2.530000e+000	4.011861e-010	-2.000200e-011
2.520000000000053e+000	5.000000e+000	2.520000e+000	4.044875e-010	-2.000200e-011
2.510000000000053e+000	5.000000e+000	2.510000e+000	4.078851e-010	-2.000200e-011
2.500000000000053e+000	5.000000e+000	2.500000e+000	4.113833e-010	-2.000200e-011
2.490000000000054e+000	5.000000e+000	2.490000e+000	4.149865e-010	-2.000200e-011
2.480000000000054e+000	5.000000e+000	2.480000e+000	4.186995e-010	-2.000200e-011
2.470000000000054e+000	5.000000e+000	2.470000e+000	4.225275e-010	-2.000200e-011
2.460000000000054e+000	5.000000e+000	2.460000e+000	4.264759e-010	-2.000200e-011
2.450000000000054e+000	5.000000e+000	2.450000e+000	4.305505e-010	-2.000200e-011
2.440000000000055e+000	5.000000e+000	2.440000e+000	4.347573e-010	-2.000200e-011
2.430000000000055e+000	5.000000e+000	2.430000e+000	4.391030e-010	-2.000200e-011
2.420000000000055e+000	5.000000e+000	2.420000e+000	4.435945e-010	-2.000200e-011
2.410000000000055e+000	5.000000e+000	2.410000e+000	4.482393e-010	-2.000200e-011
2.400000000000055e+000	5.000000e+000	2.400000e+000	4.530454e-010	-2.000200e-011
2.390000000000056e+000	5.000000e+000	2.390000e+000	4.580213e-010	-2.000200e-011
2.380000000000056e+000	5.000000e+000	2.380000e+000	4.631761e-010	-2.000200e-011
2.370000000000056e+000	5.000000e+000	2.370000e+000	4.685198e-010	-2.000200e-011
2.360000000000056e+000	5.000000e+000	2.360000e+000	4.740630e-010	-2.000200e-011
2.350000000000057e+000	5.000000e+000	2.350000e+000	4.798168e-010	-2.000200e-011
2.340000000000057e+000	5.000000e+000	2.340000e+000	4.857937e-010	-2.000200e-011
2.330000000000057e+000	5.000000e+000	2.330000e+000	4.920068e-010	-2.000200e-011
2.320000000000057e+000	5.000000e+000	2.320000e+000	4.984705e-010	-2.000200e-011
2.310000000000057e+000	5.000000e+000	2.310000e+000	5.052002e-010	-2.000200e-011
2.300000000000058e+000	5.000000e+000	2.300000e+000	5.122126e-010	-2.000200e-011
2.290000000000058e+000	5.000000e+000	2.290000e+000	5.195259e-010	-2.000200e-011
2.280000000000058e+000	5.000000e+000	2.280000e+000	5.271600e-010	-2.000200e-011
2.270000000000058e+000	5.000000e+000	2.270000e+000	5.351365e-010	-2.000200e-011
2.260000000000058e+000	5.000000e+000	2.260000e+000	5.434789e-010	-2.000200e-011
2.250000000000059e+000	5.000000e+000	2.250000e+000	5.522129e-010	-2.000200e-011
2.240000000000059e+000	5.000000e+000	2.240000e+000	5.613668e-010	-2.000200e-011
2.230000000000059e+000	5.000000e+000	2.230000e+000	5.709717e-010	-2.000200e-011
2.220000000000059e+000	5.000000e+000	2.220000e+000	5.810616e-010	-2.000200e-011
2.210000000000060e+000	5.000000e+000	2.210000e+000	5.916744e-010	-2.000200e-011
2.200000000000060e+000	5.000000e+000	2.200000e+000	6.028517e-010	-2.000200e-011
2.190000000000060e+000	5.000000e+000	2.190000e+000	6.146397e-010	-2.000200e-011
2.180000000000060e+000	5.000000e+000	2.180000e+000	6.270899e-010	-2.000200e-011
2.170000000000060e+000	5.000000e+000	2.170000e+000	6.402599e-010	-2.000200e-011
2.160000000000061e+000	5.000000e+000	2.160000e+000	6.542138e-010	-2.000200e-011
2.150000000000061e+000	5.000000e+000	2.150000e+000	6.690237e-010	-2.000200e-011
2.140000000000061e+000	5.000000e+000	2.140000e+000	6.847710e-010	-2.000200e-011
2.130000000000061e+000	5.000000e+000	2.130000e+000	7.015475e-010	-2.000200e-011
2.120000000000061e+000	5.000000e+000	2.120000e+000	2.521063e-005	-7.008942e-007
2.110000000000062e+000	5.000000e+000	2.110000e+000	2.319873e-004	-6.281433e-006
2.100000000000062e+000	5.000000e+000	2.100000e+000	6.601103e-004	-1.737563e-005
2.090000000000062e+000	5.000000e+000	2.090000e+000	1.327570e-003	-3.391504e-005
2.080000000000062e+000	5.000000e+000	2.080000e+000	2.256105e-003	-5.583250e-005
2.070000000000063e+000	5.000000e+000	2.070000e+000	3.472258e-003	-8.306218e-005
2.060000000000063e+000	5.000000e+000	2.060000e+000	5.008796e-003	-1.155395e-004
2.050000000000063e+000	5.000000e+000	2.050000e+000	6.906742e-003	-1.532009e-004
2.040000000000063e+000	5.000000e+000	2.040000e+000	9.218328e-003	-1.959843e-004
