#Uin1	Uin1	Uin2	out	I(V3)
2.430000000000055e+000	2.430000e+000	0.000000e+000	8.197260e-011	-5.001014e-012
2.420000000000055e+000	2.420000e+000	0.000000e+000	8.309558e-011	-5.001014e-012
2.410000000000055e+000	2.410000e+000	0.000000e+000	8.425689e-011	-5.001014e-012
2.400000000000055e+000	2.400000e+000	0.000000e+000	8.545852e-011	-5.001014e-012
2.390000000000056e+000	2.390000e+000	0.000000e+000	8.670261e-011	-5.001014e-012
2.380000000000056e+000	2.380000e+000	0.000000e+000	8.799145e-011	-5.001014e-012
2.370000000000056e+000	2.370000e+000	0.000000e+000	8.932750e-011	-5.001014e-012
2.360000000000056e+000	2.360000e+000	0.000000e+000	9.071342e-011	-5.001014e-012
2.350000000000057e+000	2.350000e+000	0.000000e+000	9.215202e-011	-5.001014e-012
2.340000000000057e+000	2.340000e+000	0.000000e+000	9.364638e-011	-5.001014e-012
2.330000000000057e+000	2.330000e+000	0.000000e+000	9.519981e-011	-5.001014e-012
2.320000000000057e+000	2.320000e+000	0.000000e+000	9.681587e-011	-5.001014e-012
2.310000000000057e+000	2.310000e+000	0.000000e+000	9.849845e-011	-5.001014e-012
2.300000000000058e+000	2.300000e+000	0.000000e+000	1.002517e-010	-5.001014e-012
2.290000000000058e+000	2.290000e+000	0.000000e+000	1.020802e-010	-5.001014e-012
2.280000000000058e+000	2.280000e+000	0.000000e+000	1.039889e-010	-5.001014e-012
2.270000000000058e+000	2.270000e+000	0.000000e+000	1.059832e-010	-5.001014e-012
2.260000000000058e+000	2.260000e+000	0.000000e+000	1.080690e-010	-5.001014e-012
2.250000000000059e+000	2.250000e+000	0.000000e+000	1.102527e-010	-5.001014e-012
2.240000000000059e+000	2.240000e+000	0.000000e+000	1.125414e-010	-5.001014e-012
2.230000000000059e+000	2.230000e+000	0.000000e+000	1.149429e-010	-5.001014e-012
2.220000000000059e+000	2.220000e+000	0.000000e+000	1.174656e-010	-5.001014e-012
2.210000000000060e+000	2.210000e+000	0.000000e+000	1.201190e-010	-5.001014e-012
2.200000000000060e+000	2.200000e+000	0.000000e+000	1.229136e-010	-5.001014e-012
2.190000000000060e+000	2.190000e+000	0.000000e+000	1.258609e-010	-5.001014e-012
2.180000000000060e+000	2.180000e+000	0.000000e+000	1.289738e-010	-5.001014e-012
2.170000000000060e+000	2.170000e+000	0.000000e+000	1.322666e-010	-5.001014e-012
2.160000000000061e+000	2.160000e+000	0.000000e+000	1.357554e-010	-5.001014e-012
2.150000000000061e+000	2.150000e+000	0.000000e+000	1.394582e-010	-5.001014e-012
2.140000000000061e+000	2.140000e+000	0.000000e+000	1.433954e-010	-5.001014e-012
2.130000000000061e+000	2.130000e+000	0.000000e+000	1.475899e-010	-5.001014e-012
2.120000000000061e+000	2.120000e+000	0.000000e+000	2.091739e-005	-6.878765e-007
2.110000000000062e+000	2.110000e+000	0.000000e+000	1.934247e-004	-6.164967e-006
2.100000000000062e+000	2.100000e+000	0.000000e+000	5.528685e-004	-1.705377e-005
2.090000000000062e+000	2.090000e+000	0.000000e+000	1.117124e-003	-3.328734e-005
2.080000000000062e+000	2.080000e+000	0.000000e+000	1.907375e-003	-5.480009e-005
2.070000000000063e+000	2.070000e+000	0.000000e+000	2.949248e-003	-8.152777e-005
2.060000000000063e+000	2.060000e+000	0.000000e+000	4.274030e-003	-1.134074e-004
2.050000000000063e+000	2.050000e+000	0.000000e+000	5.920462e-003	-1.503771e-004
2.040000000000063e+000	2.040000e+000	0.000000e+000	7.937303e-003	-1.923765e-004
2.030000000000063e+000	2.030000e+000	0.000000e+000	1.038715e-002	-2.393461e-004
2.020000000000064e+000	2.020000e+000	0.000000e+000	1.335231e-002	-2.912276e-004
2.010000000000064e+000	2.010000e+000	0.000000e+000	1.694433e-002	-3.479640e-004
2.000000000000064e+000	2.000000e+000	0.000000e+000	2.132020e-002	-4.094991e-004
1.990000000000064e+000	1.990000e+000	0.000000e+000	2.671228e-002	-4.757780e-004
1.980000000000064e+000	1.980000e+000	0.000000e+000	3.348906e-002	-5.467466e-004
1.970000000000064e+000	1.970000e+000	0.000000e+000	4.229705e-002	-6.223520e-004
1.960000000000064e+000	1.960000e+000	0.000000e+000	5.453962e-002	-7.025421e-004
1.950000000000064e+000	1.950000e+000	0.000000e+000	7.425381e-002	-7.872660e-004
1.940000000000064e+000	1.940000e+000	0.000000e+000	4.840123e+000	-8.114188e-004
1.930000000000064e+000	1.930000e+000	0.000000e+000	4.892424e+000	-6.788227e-004
