time	V(n006)	V(n010)
9.990000000000001e-004	0.000000e+000	5.562177e-011
1.000000000000000e-003	0.000000e+000	5.562177e-011
1.000100000000000e-003	5.000000e-002	6.017396e-011
1.000700000000000e-003	3.500000e-001	8.392677e-011
1.002500000000000e-003	1.250000e+000	1.311785e-010
1.003500000000000e-003	1.750000e+000	1.480680e-010
1.003780675615725e-003	1.890338e+000	1.520380e-010
1.003938603514764e-003	1.969302e+000	1.543134e-010
1.004116280593902e-003	2.058140e+000	1.571571e-010
1.004233721872613e-003	2.116861e+000	1.591784e-010
1.004321621006079e-003	2.160810e+000	1.607730e-010
1.004420803860539e-003	2.210402e+000	1.626459e-010
1.004549382782315e-003	2.274691e+000	1.651620e-010
1.004693241517586e-003	2.346621e+000	1.680765e-010
1.004980958988127e-003	2.490479e+000	1.740201e-010
1.005546085002855e-003	2.773042e+000	1.852581e-010
1.006477323450311e-003	3.238662e+000	2.017675e-010
1.007270251425695e-003	3.635126e+000	2.132657e-010
1.008056420280986e-003	4.028210e+000	2.219515e-010
1.008857742368671e-003	4.428871e+000	2.287503e-010
1.009255054710954e-003	4.627527e+000	2.313390e-010
1.010000000000000e-003	5.000000e+000	2.353059e-010
1.010074494528905e-003	5.000000e+000	2.244092e-010
1.010223483586714e-003	5.000000e+000	2.042745e-010
1.010521461702332e-003	5.000000e+000	1.709033e-010
1.011117417933568e-003	5.000000e+000	1.232854e-010
1.012117417933568e-003	5.000000e+000	7.457700e-011
1.013117417933568e-003	5.000000e+000	4.925399e-011
1.014117417933568e-003	5.000000e+000	3.786714e-011
1.015117417933568e-003	5.000000e+000	3.270899e-011
1.016117417933568e-003	5.000000e+000	3.033482e-011
1.017117417933568e-003	5.000000e+000	2.920526e-011
1.018117417933568e-003	5.000000e+000	2.863241e-011
1.019117417933568e-003	5.000000e+000	2.830888e-011
1.020117417933568e-003	5.000000e+000	2.809733e-011
1.021117417933568e-003	5.000000e+000	2.793638e-011
1.022117417933567e-003	5.000000e+000	2.779861e-011
1.023117417933567e-003	5.000000e+000	2.767176e-011
1.024117417933567e-003	5.000000e+000	2.755034e-011
1.025117417933567e-003	5.000000e+000	2.743191e-011
1.026117417933567e-003	5.000000e+000	2.731536e-011
1.027117417933567e-003	5.000000e+000	2.720020e-011
1.028117417933567e-003	5.000000e+000	2.708620e-011
1.029117417933567e-003	5.000000e+000	2.697325e-011
1.030117417933567e-003	5.000000e+000	2.686130e-011
1.031117417933567e-003	5.000000e+000	2.675033e-011
1.032117417933567e-003	5.000000e+000	2.664032e-011
1.033117417933567e-003	5.000000e+000	2.653125e-011
1.034117417933566e-003	5.000000e+000	2.642312e-011
1.035117417933566e-003	5.000000e+000	2.631591e-011
1.036117417933566e-003	5.000000e+000	2.620962e-011
1.037117417933566e-003	5.000000e+000	2.610425e-011
1.038117417933566e-003	5.000000e+000	2.599977e-011
1.039117417933566e-003	5.000000e+000	2.589619e-011
1.040117417933566e-003	5.000000e+000	2.579350e-011
1.041117417933566e-003	5.000000e+000	2.569169e-011
1.042117417933566e-003	5.000000e+000	2.559075e-011
1.043117417933566e-003	5.000000e+000	2.549068e-011
1.044117417933566e-003	5.000000e+000	2.539146e-011
1.045117417933566e-003	5.000000e+000	2.529309e-011
1.046117417933565e-003	5.000000e+000	2.519556e-011
1.047117417933565e-003	5.000000e+000	2.509887e-011
1.048117417933565e-003	5.000000e+000	2.500301e-011
1.049117417933565e-003	5.000000e+000	2.490797e-011
1.050117417933565e-003	5.000000e+000	2.481374e-011
1.051117417933565e-003	5.000000e+000	2.472032e-011
1.052117417933565e-003	5.000000e+000	2.462770e-011
1.053117417933565e-003	5.000000e+000	2.453588e-011
1.054117417933565e-003	5.000000e+000	2.444484e-011
1.055117417933565e-003	5.000000e+000	2.435458e-011
1.056117417933565e-003	5.000000e+000	2.426509e-011
1.057117417933565e-003	5.000000e+000	2.417637e-011
1.058117417933564e-003	5.000000e+000	2.408841e-011
1.059117417933564e-003	5.000000e+000	2.400120e-011
1.060117417933564e-003	5.000000e+000	2.391474e-011
1.061117417933564e-003	5.000000e+000	2.382902e-011
1.062117417933564e-003	5.000000e+000	2.374403e-011
1.063117417933564e-003	5.000000e+000	2.365977e-011
1.064117417933564e-003	5.000000e+000	2.357623e-011
1.065117417933564e-003	5.000000e+000	2.349341e-011
1.066117417933564e-003	5.000000e+000	2.341130e-011
1.067117417933564e-003	5.000000e+000	2.332989e-011
1.068117417933564e-003	5.000000e+000	2.324918e-011
1.069117417933564e-003	5.000000e+000	2.316916e-011
1.070117417933563e-003	5.000000e+000	2.308983e-011
1.071117417933563e-003	5.000000e+000	2.301117e-011
1.072117417933563e-003	5.000000e+000	2.293319e-011
1.073117417933563e-003	5.000000e+000	2.285588e-011
1.074117417933563e-003	5.000000e+000	2.277922e-011
1.075117417933563e-003	5.000000e+000	2.270323e-011
1.076117417933563e-003	5.000000e+000	2.262789e-011
1.077117417933563e-003	5.000000e+000	2.255319e-011
1.078117417933563e-003	5.000000e+000	2.247913e-011
1.079117417933563e-003	5.000000e+000	2.240570e-011
1.080117417933563e-003	5.000000e+000	2.233291e-011
1.081117417933563e-003	5.000000e+000	2.226073e-011
1.082117417933562e-003	5.000000e+000	2.218918e-011
1.083117417933562e-003	5.000000e+000	2.211824e-011
1.084117417933562e-003	5.000000e+000	2.204791e-011
1.085117417933562e-003	5.000000e+000	2.197818e-011
1.086117417933562e-003	5.000000e+000	2.190905e-011
1.087117417933562e-003	5.000000e+000	2.184051e-011
1.088117417933562e-003	5.000000e+000	2.177256e-011
1.089117417933562e-003	5.000000e+000	2.170518e-011
1.090117417933562e-003	5.000000e+000	2.163839e-011
1.091117417933562e-003	5.000000e+000	2.157217e-011
1.092117417933562e-003	5.000000e+000	2.150651e-011
1.094117417933561e-003	5.000000e+000	2.137688e-011
1.096117417933561e-003	5.000000e+000	2.124947e-011
1.099117417933561e-003	5.000000e+000	2.106241e-011
1.101117417933561e-003	5.000000e+000	2.094044e-011
1.103117417933561e-003	5.000000e+000	2.082047e-011
1.105117417933561e-003	5.000000e+000	2.070249e-011
1.107117417933560e-003	5.000000e+000	2.058651e-011
1.109117417933560e-003	5.000000e+000	2.047252e-011
1.111117417933560e-003	5.000000e+000	2.036053e-011
1.113117417933560e-003	5.000000e+000	2.025053e-011
1.131974560790701e-003	5.000000e+000	1.934279e-011
1.150831703647842e-003	5.000000e+000	1.853260e-011
1.169688846504984e-003	5.000000e+000	1.781996e-011
1.188545989362125e-003	5.000000e+000	1.720486e-011
1.207403132219266e-003	5.000000e+000	1.668731e-011
1.226260275076408e-003	5.000000e+000	1.626731e-011
1.245117417933549e-003	5.000000e+000	1.594486e-011
1.273260275076404e-003	5.000000e+000	1.554286e-011
1.301403132219258e-003	5.000000e+000	1.519564e-011
1.329545989362113e-003	5.000000e+000	1.490319e-011
1.357688846504968e-003	5.000000e+000	1.466552e-011
